index,Address,Category,City,Country,Latitude,Longitude,Name,Country2,City2,Query
0,Jorge Washington 2356,Restaurant,Antofagasta,Chile,-23.648175860349262,-70.40081916915035,El Horno De Barro,Chile,Antofagasta,restaurant
0,,Sandwich Place,,Chile,-23.638353113016286,-70.3941513368471,El Mamut's,Chile,Antofagasta,restaurant
0,Arturo Prat 474,Café,Antofagasta,Chile,-23.647643308802085,-70.3974872826647,Loft Cafe,Chile,Antofagasta,restaurant
0,Carlos Condell,Sandwich Place,Antofagasta,Chile,-23.649042287517247,-70.39715858461791,Burger,Chile,Antofagasta,restaurant
0,Latorre 2515,Restaurant,Antofagasta,Chile,-23.648559801792672,-70.3979787258524,Don Pollo Don Lomo,Chile,Antofagasta,restaurant
0,,Café,Antofagasta,Chile,-23.648124810163377,-70.39752516467271,Rombos Café,Chile,Antofagasta,restaurant
0,Latorre 2501,Chinese Restaurant,Antofagasta,Chile,-23.648611638890834,-70.39808204612456,La Ciudad Nueva,Chile,Antofagasta,restaurant
0,Balmaceda 2355,Café,Antofagasta,Chile,-23.645080241034922,-70.40323101253892,Le Coin,Chile,Antofagasta,restaurant
0,"Balmaceda 2355, Patio de Comidas",Sandwich Place,Antofagasta,Chile,-23.6450709789776,-70.40318092592837,Dominó Plaza Antofagasta,Chile,Antofagasta,restaurant
0,Balmaceda,Chinese Restaurant,Antofagasta,Chile,-23.646207223142763,-70.40054997276916,NAN KING,Chile,Antofagasta,restaurant
0,,Restaurant,,Chile,-23.64491832320194,-70.40276071018688,Restaurant Bariloche. Mall Plaza Antofagasta.,Chile,Antofagasta,restaurant
0,Washington 2430,Peruvian Restaurant,Antofagasta,Chile,-23.647608392886013,-70.40008504262207,Barandiaran,Chile,Antofagasta,restaurant
0,,American Restaurant,,Chile,-23.64405982483754,-70.39924235572045,Restaurant Club de Yates,Chile,Antofagasta,restaurant
0,Av. Balmaceda 2355,Food Court,Antofagasta,Chile,-23.644962065074264,-70.40312266765447,Tarragona,Chile,Antofagasta,restaurant
0,,Latin American Restaurant,,Chile,-23.649336587759713,-70.39750160026891,Restaurant Internacional Panda,Chile,Antofagasta,restaurant
0,,Sushi Restaurant,,Chile,-23.645335593483434,-70.39970147495238,Katsu Sushi,Chile,Antofagasta,restaurant
0,Capitán Arturo Prat Chacón 645,Café,Antofagasta,Chile,-23.649098417714246,-70.39615065252202,Raconto,Chile,Antofagasta,restaurant
