city,cityLabel,population,pa_s,pa_sLabel,coordenadas
http://www.wikidata.org/entity/Q59218,Dongguan,8310000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.74866 23.01797)
http://www.wikidata.org/entity/Q59218,Dongguan,8310000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.74928 23.04749)
http://www.wikidata.org/entity/Q363166,Ganzhou,8300000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.933611111 25.829166666)
http://www.wikidata.org/entity/Q372791,Jining,8023000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.566666666 35.4)
http://www.wikidata.org/entity/Q372791,Jining,8023000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.58139 35.405)
http://www.wikidata.org/entity/Q11725,Chongqing,7990000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(106.506944444 29.55)
http://www.wikidata.org/entity/Q11720,Shenyang,7935000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(123.425833333 41.803888888)
http://www.wikidata.org/entity/Q1858,Hanoi,7785000,http://www.wikidata.org/entity/Q881,Vietnam,Point(105.84117 21.0245)
http://www.wikidata.org/entity/Q49761636,Category:Palaces of Nizams of Hyderbad,7674689,http://www.wikidata.org/entity/Q668,India,
http://www.wikidata.org/entity/Q92161,Changchun,7674439,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(125.2 43.9)
http://www.wikidata.org/entity/Q1070,Ahmedabad,7645000,http://www.wikidata.org/entity/Q668,India,Point(72.58 23.03)
http://www.wikidata.org/entity/Q198240,Zhumadian,7640000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.02528 32.97729)
http://www.wikidata.org/entity/Q42780,Ningbo,7639000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(121.549166666 29.875)
http://www.wikidata.org/entity/Q42780,Ningbo,7639000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(121.54945 29.87819)
http://www.wikidata.org/entity/Q852238,Onitsha,7635000,http://www.wikidata.org/entity/Q1033,Nigeria,Point(6.783333333 6.166666666)
http://www.wikidata.org/entity/Q185684,Hefei,7457027,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(117.279444444 31.863611111)
http://www.wikidata.org/entity/Q185684,Hefei,7457027,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(117.28083 31.86389)
http://www.wikidata.org/entity/Q8646,Hong Kong,7409800,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.158611111 22.278333333)
http://www.wikidata.org/entity/Q57947,Nantong,7282835,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(120.8873 31.98288)
http://www.wikidata.org/entity/Q144663,Hengyang,7265000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(112.58568 26.89676)
http://www.wikidata.org/entity/Q144663,Hengyang,7265000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(112.61888 26.88946)
